Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
MAX_2059.JPG,/mnt/d/DCIM/107MEDIA/MAX_2059.JPG,,,,"40 deg 31' 25.58"" N","74 deg 27' 36.33"" W",50.9 m Above Sea Level
MIX_2060.JPG,/mnt/d/DCIM/107MEDIA/MIX_2060.JPG,,,,"40 deg 31' 25.58"" N","74 deg 27' 36.33"" W",50.9 m Above Sea Level
IRX_2060.JPG,/mnt/d/DCIM/107MEDIA/IRX_2060.JPG,,,,"40 deg 31' 25.58"" N","74 deg 27' 36.33"" W",50.9 m Above Sea Level
MAX_2060.JPG,/mnt/d/DCIM/107MEDIA/MAX_2060.JPG,,,,"40 deg 31' 25.60"" N","74 deg 27' 36.35"" W",50.9 m Above Sea Level
MIX_2061.JPG,/mnt/d/DCIM/107MEDIA/MIX_2061.JPG,,,,"40 deg 31' 25.60"" N","74 deg 27' 36.35"" W",50.9 m Above Sea Level
IRX_2061.JPG,/mnt/d/DCIM/107MEDIA/IRX_2061.JPG,,,,"40 deg 31' 25.60"" N","74 deg 27' 36.35"" W",50.9 m Above Sea Level
MAX_2061.JPG,/mnt/d/DCIM/107MEDIA/MAX_2061.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.38"" W",50.9 m Above Sea Level
MIX_2062.JPG,/mnt/d/DCIM/107MEDIA/MIX_2062.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.38"" W",50.9 m Above Sea Level
IRX_2062.JPG,/mnt/d/DCIM/107MEDIA/IRX_2062.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.38"" W",50.9 m Above Sea Level
MAX_2062.JPG,/mnt/d/DCIM/107MEDIA/MAX_2062.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.38"" W",50.9 m Above Sea Level
MIX_2063.JPG,/mnt/d/DCIM/107MEDIA/MIX_2063.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.38"" W",50.9 m Above Sea Level
IRX_2063.JPG,/mnt/d/DCIM/107MEDIA/IRX_2063.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.38"" W",50.9 m Above Sea Level
MAX_2063.JPG,/mnt/d/DCIM/107MEDIA/MAX_2063.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MIX_2064.JPG,/mnt/d/DCIM/107MEDIA/MIX_2064.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
